system:index,20190902T103029_20190902T103550_T32UNC_B2,20190902T103029_20190902T103550_T32UNC_B3,20190902T103029_20190902T103550_T32UNC_B4,20190902T103029_20190902T103550_T32UNC_B5,20190902T103029_20190902T103550_T32UNC_B6,20190902T103029_20190902T103550_T32UNC_B7,20190902T103029_20190902T103550_T32UNC_B8,20190902T103029_20190902T103550_T32UNC_EVI,20190902T103029_20190902T103550_T32UNC_IRECI,20190902T103029_20190902T103550_T32UNC_NDVI,20190902T103029_20190902T103550_T32UNC_SCL,20190904T102021_20190904T102045_T32UNC_B2,20190904T102021_20190904T102045_T32UNC_B3,20190904T102021_20190904T102045_T32UNC_B4,20190904T102021_20190904T102045_T32UNC_B5,20190904T102021_20190904T102045_T32UNC_B6,20190904T102021_20190904T102045_T32UNC_B7,20190904T102021_20190904T102045_T32UNC_B8,20190904T102021_20190904T102045_T32UNC_EVI,20190904T102021_20190904T102045_T32UNC_IRECI,20190904T102021_20190904T102045_T32UNC_NDVI,20190904T102021_20190904T102045_T32UNC_SCL,pai,.geo
00050000000000000b10_0,4640,4080,3838,4111,4445,4443,4935,-4011,32767,1250,9,356,547,292,816,3093,4104,4264,29668,32767,8718,4,4.902737140655518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.577550798601502,51.573172384577155]}"
00050000000000000b81_0,2996,2678,2424,2740,3219,3460,3696,-7519,32767,2078,8,1328,1434,1338,1659,2098,2212,2526,32767,32767,3074,10,0.777167022228241,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.6699874115051,51.578975329918435]}"
00050000000000006771_0,2568,2530,2448,2954,3232,3382,3273,-15889,32767,1442,9,4908,5604,6024,6842,7445,7556,7184,4448,32767,878,9,4.498861789703369,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.563119736302712,51.58475189341607]}"
0005000000000000c40e_0,421,466,284,631,2268,3052,3620,32767,32767,8545,4,314,435,254,709,2504,3511,3768,29901,32767,8736,4,5.402774810791016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.568824224367923,51.60234808873632]}"
0005000000000000c427_0,708,651,536,588,1008,1258,1318,-25225,32767,4217,7,239,325,217,739,2214,2912,2326,28709,32767,8293,4,2.100011110305786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.58934507364012,51.60368553153256]}"
0005000000000000e310_0,12784,11848,11224,11338,10586,10118,12176,-1454,-32768,406,9,264,309,174,440,1740,2395,1782,32767,32767,8220,4,4.62485408782959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.579069438782577,51.56776986771199]}"
00050000000000008657_0,1158,1072,962,1031,1667,2018,1952,-25781,32767,3397,7,551,793,457,1163,4342,5583,6300,29747,32767,8647,4,5.6863861083984375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.564350731403668,51.57926104403062]}"
0005000000000000c412_0,428,488,326,719,2164,2811,3420,32767,32767,8259,4,306,457,282,826,2484,3067,3522,27739,32767,8517,4,4.901920795440674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.572148405509779,51.60260168481383]}"
0005000000000000c431_0,9472,9216,9192,9839,9704,9716,9544,-1387,32767,187,9,294,433,277,653,2225,2774,2930,27774,32767,8272,4,4.008635997772217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.597582148041909,51.604183391784225]}"
0005000000000000e34e_0,598,614,419,668,1641,2048,2382,32767,32767,7008,4,6784,6572,6200,6920,7271,7203,7868,-7176,32767,1185,9,1.2328979969024658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.629755909039309,51.57092569199132]}"
000500000000000048c4_0,12152,11520,11344,11990,11519,11151,11952,-1366,-32768,260,9,423,742,509,1252,3208,3662,3918,22424,32767,7700,4,0.11657799780368805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.603880322317588,51.60001498844274]}"
00050000000000000b00_0,5260,4448,3982,3914,3945,3964,4292,-687,-32768,374,11,267,496,305,917,3488,4749,5208,24337,32767,8893,4,0.027858000248670578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.56440928331386,51.572337145905976]}"
00050000000000000b24_0,8552,8208,7868,7912,7668,7416,8248,-1094,-32768,235,9,687,560,427,636,1102,1210,1474,-23464,32767,5507,3,0.010068999603390694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.593870719506722,51.57425986459036]}"
00050000000000000b61_0,1122,1316,1258,1647,3107,3582,4159,22023,32767,5355,4,6840,6664,6652,7401,7839,7953,7580,-6094,32767,652,9,0.282027006149292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.64384260208664,51.577323313452055]}"
