system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,pai,.geo
0012000000000000c020_0,6100,5604,5272,5742,5811,5836,6124,-2664,32767,747,9,909,1126,1058,1193,1803,1979,2422,17455,32767,3919,10,1.8670179843902588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.338019432420632,50.83044997292774]}"
0012000000000000c025_0,6040,5628,5308,5687,5757,5741,6064,-2558,32767,664,9,441,501,425,611,1324,1620,1626,32767,32767,5855,10,2.646178960800171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.341848631087572,50.8298093223838]}"
001200000000000095ff_0,6592,6188,5748,6185,6212,6155,6584,-2497,32767,677,9,1186,1354,1472,1945,3054,3544,3200,13766,32767,3698,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.321763847186553,50.84119733997507]}"
00120000000000009608_0,6836,6284,5816,6239,6243,6197,6700,-2284,32767,706,9,379,440,347,670,1981,2632,2170,32311,32767,7242,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.328856893516338,50.84000850665375]}"
0012000000000000974c_0,5288,4936,4704,5058,5216,5244,5584,-3760,32767,855,9,1242,1634,1870,2485,3232,3552,3210,6548,32767,2637,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.582957522584211,50.79584999630197]}"
0012000000000000bffe_0,6564,6120,5752,6180,6199,6173,6396,-1934,32767,530,9,1146,1552,1492,1767,2842,3215,3764,13779,32767,4322,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.311354697060779,50.83502055894123]}"
0012000000000000c010_0,6352,5924,5560,5988,5982,5952,6400,-2665,32767,702,9,604,841,873,1218,2224,2658,2524,12766,32767,4860,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.325539091224801,50.832643726950444]}"
0012000000000000c0f6_0,6180,5800,5424,5867,5949,5951,6220,-2623,32767,683,9,6704,6232,5932,5833,5663,5513,6104,-500,-32768,142,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.508377165838853,50.80087513933173]}"
0012000000000000c132_0,5268,4944,4732,5122,5330,5379,5616,-4017,32767,854,9,4664,5424,5868,5688,6419,6683,6020,608,32767,127,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.555250854826598,50.79265778456812]}"
0012000000000000e11a_0,6612,6240,5944,6436,6444,6386,6600,-2238,32767,522,9,2330,2366,2334,2605,3319,3621,4074,32767,32767,2715,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.3384022557886,50.84411789482862]}"
00120000000000010c19_0,5396,5088,4784,5207,5456,5478,5692,-3737,32767,866,9,2814,2470,2232,2381,2628,2740,2754,-2632,32767,1046,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.533663451826282,50.79078009826385]}"
00120000000000010c29_0,5428,5104,4840,5263,5416,5416,5644,-3336,32767,766,9,4046,3730,3464,3648,3756,3825,3794,-1430,32767,454,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.546123769027025,50.788654061869146]}"
001200000000000135dd_0,5956,5600,5288,5707,5794,5802,5976,-2469,32767,610,9,7448,6972,6624,7031,7001,6916,7504,-2554,32767,622,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.474457898661003,50.828536132681855]}"
001200000000000017a3_0,6432,6080,5756,6167,6219,6154,6436,-2339,32767,557,9,4528,4388,4344,5153,5754,5946,5980,-21357,32767,1584,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.323955857707128,50.870597576195586]}"
001200000000000017ab_0,6464,6040,5700,6242,6258,6170,6460,-2429,32767,625,9,4408,4240,4212,4677,5252,5378,5760,-19092,32767,1552,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.33020127479358,50.869500948045044]}"
001200000000000017bf_0,6344,5944,5540,5941,5976,5922,6240,-2160,32767,594,9,775,815,849,965,1308,1437,1790,21934,32767,3565,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.345812863328877,50.86666799192833]}"
001200000000000017df_0,6348,5684,5328,5777,5850,5848,6224,-2378,32767,775,9,439,653,572,1038,2693,3405,3768,20442,32767,7364,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.370789301908278,50.862364730307306]}"
001200000000000017f3_0,5644,5168,4944,5438,5568,5552,5748,-2905,32767,751,9,383,526,502,801,1350,1549,1720,16366,32767,5481,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.386538842781126,50.85961580768745]}"
0012000000000000181b_0,5404,5184,4908,5328,5470,5501,5708,-3722,32767,753,9,1026,1246,1164,1468,2715,3244,3540,20989,32767,5051,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.417748206900622,50.85411261377335]}"
0012000000000000182c_0,5716,5312,5000,5356,5483,5487,5824,-2924,32767,761,9,1284,1616,1998,2288,2483,2624,2874,4184,32767,1798,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.43093933421324,50.85181645788446]}"
0012000000000000187c_0,5604,5236,4904,5350,5526,5499,5760,-3126,32767,802,9,541,634,607,1270,2592,3180,3024,23155,32767,6656,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.49446676111892,50.84086315730923]}"
001200000000000018db_0,6164,5692,5392,5759,5812,5795,6240,-2775,32767,729,9,6056,5648,5248,5611,5717,5620,6596,-4594,32767,1138,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.565544518501278,50.82264457490077]}"
0012000000000000191c_0,6220,5804,5404,5840,6006,6005,6304,-2840,32767,768,9,9432,8376,7616,8371,8135,7932,8664,-1599,32767,643,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.618419625433502,50.81653093905898]}"
0012000000000000194c_0,6084,5768,5428,5846,6018,6012,6264,-3074,32767,715,9,1760,1910,2060,2624,3675,4062,3896,15014,32767,3082,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.657502636526699,50.80966248837208]}"
00120000000000001954_0,5932,5560,5228,5679,5970,5935,6180,-3428,32767,834,9,2658,2874,2740,3273,4276,4596,4732,32767,32767,2665,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.663731932854748,50.80854806631345]}"
00120000000000001962_0,5712,5400,5108,5586,5851,5843,6068,-3919,32767,858,9,4240,4296,4368,4875,5520,5784,5656,32767,32767,1284,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.674632481052937,50.80659702963827]}"
00120000000000001990_0,5016,4704,4440,4893,5284,5346,5492,-4793,32767,1059,9,3272,3182,3064,3085,3802,3953,4812,-32539,32767,2219,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.709283826944931,50.798657578084374]}"
001200000000000019ae_0,4652,4172,3858,4295,4876,5166,5508,-6618,32767,1761,9,1334,1216,1092,1246,2041,2405,2646,-32768,32767,4157,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.734948464479942,50.7974195598159]}"
001200000000000019f9_0,4708,4616,4832,5352,5640,5684,5668,-32203,32767,796,9,4332,3860,3588,3627,3542,3530,3930,-1216,-32768,454,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.794244457172168,50.788037927691725]}"
00120000000000001a7c_0,5668,4408,3880,4410,4973,5242,6060,-4138,32767,2193,9,8552,8072,7968,8472,8271,8189,7860,318,32767,-68,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.893560500877836,50.766095782790806]}"
00120000000000001a92_0,2236,2386,2318,2637,3363,3590,3464,32767,32767,1982,8,11624,10944,10656,11124,10564,10255,10184,903,-32768,-226,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.91211299544105,50.764872994403134]}"
0012000000000000418c_0,7076,6552,6256,6776,6668,6550,6884,-1815,32767,477,9,8200,7548,7076,7286,7152,6928,8160,-2490,-32768,711,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.287293494689996,50.87123313290793]}"
00120000000000004191_0,7168,6720,6264,6692,6612,6522,6952,-1864,32767,520,8,4396,4464,4500,5500,5998,6159,6000,32767,32767,1428,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.291268287723755,50.870503864372964]}"
00120000000000004232_0,5328,4996,4832,5224,5340,5294,5548,-3303,32767,689,9,685,907,995,1341,1823,2059,2430,10992,32767,4189,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.416987377082798,50.848449884021434]}"
00120000000000004246_0,5624,5152,4868,5258,5349,5348,5692,-2830,32767,780,9,2100,2246,2274,3036,3823,4098,3696,22344,32767,2381,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.43273031409175,50.845784664338815]}"
00120000000000004293_0,5620,5252,4932,5407,5575,5539,5748,-2996,32767,764,9,399,446,351,661,1470,1833,1828,32767,32767,6778,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.493696875719534,50.83520094132321]}"
00120000000000004296_0,5552,5240,4964,5402,5547,5530,5684,-2916,32767,676,9,405,490,362,863,2478,3140,2938,31058,32767,7806,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.496107131549037,50.834831006413445]}"
001200000000000042a3_0,5592,5240,4892,5291,5499,5501,5724,-3030,32767,783,9,273,300,250,400,846,1050,1030,32767,32767,6093,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.507020883072,50.832895603677066]}"
001200000000000042ae_0,5800,5424,5092,5489,5590,5581,5880,-2787,32767,718,9,8056,7408,7060,7274,7192,6969,7960,-2227,-32768,599,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.515666826823058,50.83141886372211]}"
001200000000000042c0_0,5924,5556,5152,5569,5687,5675,6000,-2820,32767,760,9,3874,3786,3674,3893,4227,4392,4472,-7860,32767,979,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.52969654635724,50.82892795451801]}"
001200000000000042ca_0,5868,5524,5180,5619,5683,5641,5944,-2734,32767,686,9,1662,1808,1810,2118,2813,3119,3182,21736,32767,2748,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.537491217157106,50.827633312440426]}"
001200000000000042f0_0,5928,5492,5244,5708,5779,5788,6056,-2925,32767,718,9,731,1054,1058,1492,2209,2384,2144,9018,32767,3391,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.563352293574647,50.817439317331136]}"
