system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,.geo
001200000000000041e7_0,6292,5856,5572,6066,6033,6053,6304,-2455,32767,616,9,539,802,756,1172,2485,2982,2940,15897,32767,5909,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358400667427288,50.858896255705794]}"
001200000000000041e7_1,6320,5864,5560,6066,6033,6053,6336,-2518,32767,652,9,564,845,843,1172,2485,2982,2658,13012,32767,5184,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358542745988826,50.85889581933593]}"
001200000000000041e7_2,6320,5864,5560,6038,6058,6039,6268,-2277,32767,598,9,529,802,662,1096,2605,3186,3344,20017,32767,6694,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358257899826995,50.858806766473975]}"
001200000000000041e7_3,6344,5892,5572,6066,6033,6053,6288,-2277,32767,603,9,561,774,606,1172,2485,2982,3326,24677,32767,6917,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358399978118822,50.858806330278455]}"
001200000000000041e7_4,6348,5916,5568,6066,6033,6053,6324,-2399,32767,635,9,559,770,677,1172,2485,2982,3238,20596,32767,6541,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358542056407117,50.85880589390999]}"
001200000000000041e7_5,6352,5884,5572,6037,6100,6066,6284,-2246,32767,600,9,570,806,610,1061,2631,3287,3286,25037,32767,6868,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358399288813887,50.858716404849716]}"
001200000000000041e7_6,6352,5892,5552,6037,6100,6066,6288,-2288,32767,621,9,545,749,654,1061,2631,3287,3328,21118,32767,6715,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.35854136682894,50.858715968482635]}"
0012000000000000974a_0,5332,4936,4676,5056,5267,5304,5620,-3738,32767,916,9,775,1062,1186,1481,2189,2534,2458,8451,32767,3490,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581259390769818,50.79621818602087]}"
0012000000000000974a_1,5308,4904,4628,5056,5267,5304,5556,-3577,32767,911,9,845,1072,1076,1481,2189,2534,2752,14591,32767,4378,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.58140127468121,50.79621747899414]}"
0012000000000000974a_2,5368,4908,4616,5065,5258,5319,5604,-3549,32767,966,9,624,961,1086,1545,2671,3089,2718,8957,32767,4290,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.58125827534177,50.79612826249351]}"
0012000000000000974a_3,5288,4896,4616,5065,5258,5319,5556,-3667,32767,924,9,694,1080,1094,1545,2671,3089,3278,11772,32767,4995,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581400158980928,50.79612755546901]}"
0012000000000000974a_4,5288,4936,4648,5047,5261,5298,5548,-3615,32767,882,9,874,1094,1150,1738,2913,3358,3360,14908,32767,4900,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581542042614375,50.796126848271975]}"
