system:index,20201230T103441_20201230T103436_T32UNC_B2,20201230T103441_20201230T103436_T32UNC_B3,20201230T103441_20201230T103436_T32UNC_B4,20201230T103441_20201230T103436_T32UNC_B5,20201230T103441_20201230T103436_T32UNC_B6,20201230T103441_20201230T103436_T32UNC_B7,20201230T103441_20201230T103436_T32UNC_B8,20201230T103441_20201230T103436_T32UNC_EVI,20201230T103441_20201230T103436_T32UNC_IRECI,20201230T103441_20201230T103436_T32UNC_NDVI,20201230T103441_20201230T103436_T32UNC_SCL,pai,.geo
0000000000000001bd65_0,938,1050,715,1723,3725,4254,4432,32767,32767,7221,7,4.142146110534668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.01618621333104,51.440166119107076]}"
0000000000000001bd73_0,518,400,457,557,852,1089,1454,32767,32767,5217,2,2.852411985397339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.029279749951066,51.44124259865036]}"
00000000000000001b7f_0,2096,1908,2094,2859,3203,3192,2832,-32768,32767,1498,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.010583120209034,51.47532466952717]}"
00000000000000001c97_0,518,408,420,544,623,649,799,-16769,32767,3109,2,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.241637120844917,51.49368917287541]}"
00000000000000001ca6_0,582,557,532,744,873,908,1013,-32768,32767,3113,2,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.253886396808218,51.494652391484294]}"
00000000000000001ca9_0,819,827,798,1058,1494,1563,1682,32767,32767,3564,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.256336212550035,51.49482689830119]}"
00000000000000001ceb_0,4568,4108,4420,5201,5618,5626,5504,-12125,32767,1092,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.310816129243632,51.49910114764861]}"
00000000000000001cfd_0,6784,6444,6264,7046,7286,7327,7780,-6872,32767,1079,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.32551864269161,51.50023019620347]}"
00000000000000001d1f_0,5096,4640,4708,5183,5272,5159,5616,-5212,32767,879,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.353195581089125,51.50230814709144]}"
00000000000000001d84_0,9088,8016,7848,8347,8373,8183,9488,-3539,32767,946,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.436242966153548,51.50868260410274]}"
00000000000000001d89_0,10032,9272,9656,10822,11017,10766,10448,-2888,32767,393,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.440280922227572,51.50902718894744]}"
00000000000000001dc4_0,8096,7636,8004,8407,8430,8420,8600,-3638,32767,358,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.488303959732189,51.51270358208447]}"
00000000000000001de2_0,6444,5508,5644,5975,5923,5743,6324,-2088,32767,568,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.512679093511197,51.5145777800149]}"
00000000000000001de5_0,5672,5216,5328,5722,5664,5572,5772,-2312,32767,400,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.515130922752686,51.514746874940826]}"
00000000000000001de7_0,5440,4928,4916,4958,4814,4796,5584,-2920,-32768,636,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.516718128093,51.51491973024264]}"
00000000000000001de8_0,6076,5372,5368,5765,5538,5288,6076,-2429,-32768,618,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.517583788821762,51.51500583194187]}"
00000000000000001e2f_0,4360,3940,3582,3864,3920,3888,4760,-4568,32767,1412,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.575572241774237,51.51932146861493]}"
00000000000000001e53_0,3666,3320,3370,3700,3887,3815,4244,-7211,32767,1147,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.604860524318124,51.52160190496799]}"
00000000000000005c93_0,1472,1568,1644,2296,3274,3575,3864,20639,32767,4030,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.004966923058495,51.46921063784957]}"
